,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare
72,73,2,male,2.1,0,0,73.5
73,74,3,male,2.6,1,0,14.4542
74,75,3,male,3.2,0,0,56.4958
75,76,3,male,2.5,0,0,7.65
76,77,3,male,2.9,0,0,7.8958
77,78,3,male,2.9,0,0,8.05
78,79,2,male,0.0,0,2,29.0
79,80,3,female,3.0,0,0,12.475
80,81,3,male,2.2,0,0,9.0
81,82,3,male,2.9,0,0,9.5
82,83,3,female,2.9,0,0,7.7875
83,84,1,male,2.8,0,0,47.1
84,85,2,female,1.7,0,0,10.5
85,86,3,female,3.3,3,0,15.85
86,87,3,male,1.6,1,3,34.375
87,88,3,male,2.9,0,0,8.05
88,89,1,female,2.3,3,2,263.0
89,90,3,male,2.4,0,0,8.05
90,91,3,male,2.9,0,0,8.05
91,92,3,male,2.0,0,0,7.8542
92,93,1,male,4.6,1,0,61.175
93,94,3,male,2.6,1,2,20.575
94,95,3,male,5.9,0,0,7.25
95,96,3,male,2.9,0,0,8.05
96,97,1,male,7.1,0,0,34.6542
97,98,1,male,2.3,0,1,63.3583
98,99,2,female,3.4,0,1,23.0
99,100,2,male,3.4,1,0,26.0
100,101,3,female,2.8,0,0,7.8958
101,102,3,male,2.9,0,0,7.8958
102,103,1,male,2.1,0,1,77.2875
103,104,3,male,3.3,0,0,8.6542
104,105,3,male,3.7,2,0,7.925
105,106,3,male,2.8,0,0,7.8958
106,107,3,female,2.1,0,0,7.65
107,108,3,male,2.9,0,0,7.775
108,109,3,male,3.8,0,0,7.8958
109,110,3,female,2.9,1,0,24.15
110,111,1,male,4.7,0,0,52.0
111,112,3,female,1.4,1,0,14.4542
112,113,3,male,2.2,0,0,8.05
113,114,3,female,2.0,1,0,9.825
114,115,3,female,1.7,0,0,14.4583
115,116,3,male,2.1,0,0,7.925
116,117,3,male,7.0,0,0,7.75
117,118,2,male,2.9,1,0,21.0
118,119,1,male,2.4,0,1,247.5208
119,120,3,female,0.2,4,2,31.275
120,121,2,male,2.1,2,0,73.5
121,122,3,male,2.9,0,0,8.05
122,123,2,male,3.2,1,0,30.0708
123,124,2,female,3.2,0,0,13.0
124,125,1,male,5.4,0,1,77.2875
125,126,3,male,1.2,1,0,11.2417
126,127,3,male,2.9,0,0,7.75
127,128,3,male,2.4,0,0,7.1417
128,129,3,female,2.9,1,1,22.3583
129,130,3,male,4.5,0,0,6.975
130,131,3,male,3.3,0,0,7.8958
131,132,3,male,2.0,0,0,7.05
132,133,3,female,4.7,1,0,14.5
133,134,2,female,2.9,1,0,26.0
134,135,2,male,2.5,0,0,13.0
135,136,2,male,2.3,0,0,15.0458
136,137,1,female,1.9,0,2,26.2833
137,138,1,male,3.7,1,0,53.1
138,139,3,male,1.6,0,0,9.2167
139,140,1,male,2.4,0,0,79.2
140,141,3,female,2.9,0,2,15.2458
141,142,3,female,2.2,0,0,7.75
142,143,3,female,2.4,1,0,15.85
143,144,3,male,1.9,0,0,6.75
144,145,2,male,1.8,0,0,11.5
145,146,2,male,1.9,1,1,36.75
146,147,3,male,2.7,0,0,7.7958
147,148,3,female,0.9,2,2,34.375
148,149,2,male,3.6,0,2,26.0
149,150,2,male,4.2,0,0,13.0
150,151,2,male,5.1,0,0,12.525
151,152,1,female,2.2,1,0,66.6
152,153,3,male,5.5,0,0,8.05
153,154,3,male,4.0,0,2,14.5
154,155,3,male,2.9,0,0,7.3125
155,156,1,male,5.1,0,1,61.3792
156,157,3,female,1.6,0,0,7.7333
157,158,3,male,3.0,0,0,8.05
158,159,3,male,2.9,0,0,8.6625
159,160,3,male,2.9,8,2,69.55
160,161,3,male,4.4,0,1,16.1
161,162,2,female,4.0,0,0,15.75
162,163,3,male,2.6,0,0,7.775
163,164,3,male,1.7,0,0,8.6625
164,165,3,male,0.1,4,1,39.6875
165,166,3,male,0.9,0,2,20.525
166,167,1,female,2.9,0,1,55.0
167,168,3,female,4.5,1,4,27.9
168,169,1,male,2.9,0,0,25.925
169,170,3,male,2.8,0,0,56.4958
170,171,1,male,6.1,0,0,33.5
171,172,3,male,0.4,4,1,29.125
172,173,3,female,0.1,1,1,11.1333
173,174,3,male,2.1,0,0,7.925
174,175,1,male,5.6,0,0,30.6958
175,176,3,male,1.8,1,1,7.8542
176,177,3,male,2.9,3,1,25.4667
177,178,1,female,5.0,0,0,28.7125
178,179,2,male,3.0,0,0,13.0
179,180,3,male,3.6,0,0,0.0
180,181,3,female,2.9,8,2,69.55
181,182,2,male,2.9,0,0,15.05
182,183,3,male,0.9,4,2,31.3875
183,184,2,male,0.1,2,1,39.0
184,185,3,female,0.4,0,2,22.025
185,186,1,male,2.9,0,0,50.0
186,187,3,female,2.9,1,0,15.5
187,188,1,male,4.5,0,0,26.55
188,189,3,male,4.0,1,1,15.5
189,190,3,male,3.6,0,0,7.8958
190,191,2,female,3.2,0,0,13.0
191,192,2,male,1.9,0,0,13.0
192,193,3,female,1.9,1,0,7.8542
193,194,2,male,0.3,1,1,26.0
194,195,1,female,4.4,0,0,27.7208
195,196,1,female,5.8,0,0,146.5208
196,197,3,male,2.9,0,0,7.75
197,198,3,male,4.2,0,1,8.4042
198,199,3,female,2.9,0,0,7.75
199,200,2,female,2.4,0,0,13.0
200,201,3,male,2.8,0,0,9.5
201,202,3,male,2.9,8,2,69.55
202,203,3,male,3.4,0,0,6.4958
203,204,3,male,4.5,0,0,7.225
204,205,3,male,1.8,0,0,8.05
205,206,3,female,0.2,0,1,10.4625
206,207,3,male,3.2,1,0,15.85
207,208,3,male,2.6,0,0,18.7875
208,209,3,female,1.6,0,0,7.75
209,210,1,male,4.0,0,0,31.0
210,211,3,male,2.4,0,0,7.05
211,212,2,female,3.5,0,0,21.0
212,213,3,male,2.2,0,0,7.25
213,214,2,male,3.0,0,0,13.0
214,215,3,male,2.9,1,0,7.75
215,216,1,female,3.1,1,0,113.275
216,217,3,female,2.7,0,0,7.925
217,218,2,male,4.2,1,0,27.0
218,219,1,female,3.2,0,0,76.2917
219,220,2,male,3.0,0,0,10.5
220,221,3,male,1.6,0,0,8.05
221,222,2,male,2.7,0,0,13.0
222,223,3,male,5.1,0,0,8.05
223,224,3,male,2.9,0,0,7.8958
224,225,1,male,3.8,1,0,90.0
225,226,3,male,2.2,0,0,9.35
226,227,2,male,1.9,0,0,10.5
227,228,3,male,2.0,0,0,7.25
228,229,2,male,1.8,0,0,13.0
229,230,3,female,2.9,3,1,25.4667
230,231,1,female,3.5,1,0,83.475
231,232,3,male,2.9,0,0,7.775
232,233,2,male,5.9,0,0,13.5
233,234,3,female,0.5,4,2,31.3875
234,235,2,male,2.4,0,0,10.5
235,236,3,female,2.9,0,0,7.55
236,237,2,male,4.4,1,0,26.0
237,238,2,female,0.8,0,2,26.25
238,239,2,male,1.9,0,0,10.5
239,240,2,male,3.3,0,0,12.275
240,241,3,female,2.9,1,0,14.4542
241,242,3,female,2.9,1,0,15.5
242,243,2,male,2.9,0,0,10.5
243,244,3,male,2.2,0,0,7.125
244,245,3,male,3.0,0,0,7.225
245,246,1,male,4.4,2,0,90.0
246,247,3,female,2.5,0,0,7.775
247,248,2,female,2.4,0,2,14.5
248,249,1,male,3.7,1,1,52.5542
249,250,2,male,5.4,1,0,26.0
250,251,3,male,2.9,0,0,7.25
251,252,3,female,2.9,1,1,10.4625
252,253,1,male,6.2,0,0,26.55
253,254,3,male,3.0,1,0,16.1
254,255,3,female,4.1,0,2,20.2125
255,256,3,female,2.9,0,2,15.2458
256,257,1,female,2.9,0,0,79.2
257,258,1,female,3.0,0,0,86.5
258,259,1,female,3.5,0,0,512.3292
259,260,2,female,5.0,0,1,26.0
260,261,3,male,2.9,0,0,7.75
261,262,3,male,0.3,4,2,31.3875
262,263,1,male,5.2,1,1,79.65
263,264,1,male,4.0,0,0,0.0
264,265,3,female,2.9,0,0,7.75
265,266,2,male,3.6,0,0,10.5
266,267,3,male,1.6,4,1,39.6875
267,268,3,male,2.5,1,0,7.775
268,269,1,female,5.8,0,1,153.4625
269,270,1,female,3.5,0,0,135.6333
270,271,1,male,2.9,0,0,31.0
271,272,3,male,2.5,0,0,0.0
272,273,2,female,4.1,0,1,19.5
273,274,1,male,3.7,0,1,29.7
274,275,3,female,2.9,0,0,7.75
275,276,1,female,6.3,1,0,77.9583
276,277,3,female,4.5,0,0,7.75
277,278,2,male,2.9,0,0,0.0
278,279,3,male,0.7,4,1,29.125
279,280,3,female,3.5,1,1,20.25
280,281,3,male,6.5,0,0,7.75
281,282,3,male,2.8,0,0,7.8542
282,283,3,male,1.6,0,0,9.5
283,284,3,male,1.9,0,0,8.05
284,285,1,male,2.9,0,0,26.0
285,286,3,male,3.3,0,0,8.6625
286,287,3,male,3.0,0,0,9.5
287,288,3,male,2.2,0,0,7.8958
288,289,2,male,4.2,0,0,13.0
289,290,3,female,2.2,0,0,7.75
290,291,1,female,2.6,0,0,78.85
291,292,1,female,1.9,1,0,91.0792
292,293,2,male,3.6,0,0,12.875
293,294,3,female,2.4,0,0,8.85
294,295,3,male,2.4,0,0,7.8958
295,296,1,male,2.9,0,0,27.7208
296,297,3,male,2.3,0,0,7.2292
297,298,1,female,0.2,1,2,151.55
298,299,1,male,2.9,0,0,30.5
299,300,1,female,5.0,0,1,247.5208
300,301,3,female,2.9,0,0,7.75
301,302,3,male,2.9,2,0,23.25
302,303,3,male,1.9,0,0,0.0
303,304,2,female,2.9,0,0,12.35
304,305,3,male,2.9,0,0,8.05
305,306,1,male,0.0,1,2,151.55
306,307,1,female,2.9,0,0,110.8833
307,308,1,female,1.7,1,0,108.9
308,309,2,male,3.0,1,0,24.0
309,310,1,female,3.0,0,0,56.9292
310,311,1,female,2.4,0,0,83.1583
311,312,1,female,1.8,2,2,262.375
312,313,2,female,2.6,1,1,26.0
313,314,3,male,2.8,0,0,7.8958
314,315,2,male,4.3,1,1,26.25
315,316,3,female,2.6,0,0,7.8542
316,317,2,female,2.4,1,0,26.0
317,318,2,male,5.4,0,0,14.0
318,319,1,female,3.1,0,2,164.8667
319,320,1,female,4.0,1,1,134.5
320,321,3,male,2.2,0,0,7.25
321,322,3,male,2.7,0,0,7.8958
322,323,2,female,3.0,0,0,12.35
323,324,2,female,2.2,1,1,29.0
324,325,3,male,2.9,8,2,69.55
325,326,1,female,3.6,0,0,135.6333
326,327,3,male,6.1,0,0,6.2375
327,328,2,female,3.6,0,0,13.0
328,329,3,female,3.1,1,1,20.525
329,330,1,female,1.6,0,1,57.9792
330,331,3,female,2.9,2,0,23.25
331,332,1,male,4.5,0,0,28.5
332,333,1,male,3.8,0,1,153.4625
333,334,3,male,1.6,2,0,18.0
334,335,1,female,2.9,1,0,133.65
335,336,3,male,2.9,0,0,7.8958
336,337,1,male,2.9,1,0,66.6
337,338,1,female,4.1,0,0,134.5
338,339,3,male,4.5,0,0,8.05
339,340,1,male,4.5,0,0,35.5
340,341,2,male,0.2,1,1,26.0
341,342,1,female,2.4,3,2,263.0
342,343,2,male,2.8,0,0,13.0
343,344,2,male,2.5,0,0,13.0
344,345,2,male,3.6,0,0,13.0
345,346,2,female,2.4,0,0,13.0
346,347,2,female,4.0,0,0,13.0
347,348,3,female,2.9,1,0,16.1
348,349,3,male,0.3,1,1,15.9
349,350,3,male,4.2,0,0,8.6625
350,351,3,male,2.3,0,0,9.225
351,352,1,male,2.9,0,0,35.0
352,353,3,male,1.5,1,1,7.2292
353,354,3,male,2.5,1,0,17.8
354,355,3,male,2.9,0,0,7.225
355,356,3,male,2.8,0,0,9.5
356,357,1,female,2.2,0,1,55.0
357,358,2,female,3.8,0,0,13.0
358,359,3,female,2.9,0,0,7.8792
359,360,3,female,2.9,0,0,7.8792
360,361,3,male,4.0,1,4,27.9
361,362,2,male,2.9,1,0,27.7208
362,363,3,female,4.5,0,1,14.4542
363,364,3,male,3.5,0,0,7.05
364,365,3,male,2.9,1,0,15.5
365,366,3,male,3.0,0,0,7.25
366,367,1,female,6.0,1,0,75.25
367,368,3,female,2.9,0,0,7.2292
368,369,3,female,2.9,0,0,7.75
369,370,1,female,2.4,0,0,69.3
370,371,1,male,2.5,1,0,55.4417
371,372,3,male,1.8,1,0,6.4958
372,373,3,male,1.9,0,0,8.05
373,374,1,male,2.2,0,0,135.6333
374,375,3,female,0.3,3,1,21.075
375,376,1,female,2.9,1,0,82.1708
376,377,3,female,2.2,0,0,7.25
377,378,1,male,2.7,0,2,211.5
378,379,3,male,2.0,0,0,4.0125
379,380,3,male,1.9,0,0,7.775
380,381,1,female,4.2,0,0,227.525
381,382,3,female,0.1,0,2,15.7417
382,383,3,male,3.2,0,0,7.925
383,384,1,female,3.5,1,0,52.0
384,385,3,male,2.9,0,0,7.8958
385,386,2,male,1.8,0,0,73.5
386,387,3,male,0.1,5,2,46.9
387,388,2,female,3.6,0,0,13.0
388,389,3,male,2.9,0,0,7.7292
389,390,2,female,1.7,0,0,12.0
390,391,1,male,3.6,1,2,120.0
391,392,3,male,2.1,0,0,7.7958
392,393,3,male,2.8,2,0,7.925
393,394,1,female,2.3,1,0,113.275
394,395,3,female,2.4,0,2,16.7
395,396,3,male,2.2,0,0,7.7958
396,397,3,female,3.1,0,0,7.8542
397,398,2,male,4.6,0,0,26.0
398,399,2,male,2.3,0,0,10.5
399,400,2,female,2.8,0,0,12.65
400,401,3,male,3.9,0,0,7.925
401,402,3,male,2.6,0,0,8.05
402,403,3,female,2.1,1,0,9.825
403,404,3,male,2.8,1,0,15.85
404,405,3,female,2.0,0,0,8.6625
405,406,2,male,3.4,1,0,21.0
406,407,3,male,5.1,0,0,7.75
407,408,2,male,0.3,1,1,18.75
408,409,3,male,2.1,0,0,7.775
409,410,3,female,2.9,3,1,25.4667
410,411,3,male,2.9,0,0,7.8958
411,412,3,male,2.9,0,0,6.8583
412,413,1,female,3.3,1,0,90.0
413,414,2,male,2.9,0,0,0.0
414,415,3,male,4.4,0,0,7.925
415,416,3,female,2.9,0,0,8.05
416,417,2,female,3.4,1,1,32.5
417,418,2,female,1.8,0,2,13.0
418,419,2,male,3.0,0,0,13.0
419,420,3,female,1.0,0,2,24.15
420,421,3,male,2.9,0,0,7.8958
421,422,3,male,2.1,0,0,7.7333
422,423,3,male,2.9,0,0,7.875
423,424,3,female,2.8,1,1,14.4
424,425,3,male,1.8,1,1,20.2125
425,426,3,male,2.9,0,0,7.25
426,427,2,female,2.8,1,0,26.0
427,428,2,female,1.9,0,0,26.0
428,429,3,male,2.9,0,0,7.75
429,430,3,male,3.2,0,0,8.05
430,431,1,male,2.8,0,0,26.55
431,432,3,female,2.9,1,0,16.1
432,433,2,female,4.2,1,0,26.0
433,434,3,male,1.7,0,0,7.125
434,435,1,male,5.0,1,0,55.9
435,436,1,female,1.4,1,2,120.0
436,437,3,female,2.1,2,2,34.375
437,438,2,female,2.4,2,3,18.75
438,439,1,male,6.4,1,4,263.0
439,440,2,male,3.1,0,0,10.5
440,441,2,female,4.5,1,1,26.25
441,442,3,male,2.0,0,0,9.5
442,443,3,male,2.5,1,0,7.775
443,444,2,female,2.8,0,0,13.0
444,445,3,male,2.9,0,0,8.1125
445,446,1,male,0.4,0,2,81.8583
446,447,2,female,1.3,0,1,19.5
447,448,1,male,3.4,0,0,26.55
448,449,3,female,0.5,2,1,19.2583
449,450,1,male,5.2,0,0,30.5
450,451,2,male,3.6,1,2,27.75
451,452,3,male,2.9,1,0,19.9667
452,453,1,male,3.0,0,0,27.75
453,454,1,male,4.9,1,0,89.1042
454,455,3,male,2.9,0,0,8.05
455,456,3,male,2.9,0,0,7.8958
456,457,1,male,6.5,0,0,26.55
457,458,1,female,2.9,1,0,51.8625
458,459,2,female,5.0,0,0,10.5
459,460,3,male,2.9,0,0,7.75
460,461,1,male,4.8,0,0,26.55
461,462,3,male,3.4,0,0,8.05
462,463,1,male,4.7,0,0,38.5
463,464,2,male,4.8,0,0,13.0
464,465,3,male,2.9,0,0,8.05
465,466,3,male,3.8,0,0,7.05
466,467,2,male,2.9,0,0,0.0
467,468,1,male,5.6,0,0,26.55
468,469,3,male,2.9,0,0,7.725
469,470,3,female,0.0,2,1,19.2583
470,471,3,male,2.9,0,0,7.25
471,472,3,male,3.8,0,0,8.6625
472,473,2,female,3.3,1,2,27.75
473,474,2,female,2.3,0,0,13.7917
474,475,3,female,2.2,0,0,9.8375
475,476,1,male,2.9,0,0,52.0
476,477,2,male,3.4,1,0,21.0
477,478,3,male,2.9,1,0,7.0458
478,479,3,male,2.2,0,0,7.5208
479,480,3,female,0.2,0,1,12.2875
480,481,3,male,0.9,5,2,46.9
481,482,2,male,2.9,0,0,0.0
482,483,3,male,5.0,0,0,8.05
483,484,3,female,6.3,0,0,9.5875
484,485,1,male,2.5,1,0,91.0792
485,486,3,female,2.9,3,1,25.4667
486,487,1,female,3.5,1,0,90.0
487,488,1,male,5.8,0,0,29.7
488,489,3,male,3.0,0,0,8.05
489,490,3,male,0.9,1,1,15.9
490,491,3,male,2.9,1,0,19.9667
491,492,3,male,2.1,0,0,7.25
492,493,1,male,5.5,0,0,30.5
493,494,1,male,7.1,0,0,49.5042
494,495,3,male,2.1,0,0,8.05
495,496,3,male,2.9,0,0,14.4583
496,497,1,female,5.4,1,0,78.2667
497,498,3,male,2.9,0,0,15.1
498,499,1,female,2.5,1,2,151.55
499,500,3,male,2.4,0,0,7.7958
500,501,3,male,1.7,0,0,8.6625
501,502,3,female,2.1,0,0,7.75
502,503,3,female,2.9,0,0,7.6292
503,504,3,female,3.7,0,0,9.5875
504,505,1,female,1.6,0,0,86.5
505,506,1,male,1.8,1,0,108.9
506,507,2,female,3.3,0,2,26.0
507,508,1,male,2.9,0,0,26.55
508,509,3,male,2.8,0,0,22.525
509,510,3,male,2.6,0,0,56.4958
510,511,3,male,2.9,0,0,7.75
511,512,3,male,2.9,0,0,8.05
512,513,1,male,3.6,0,0,26.2875
513,514,1,female,5.4,1,0,59.4
514,515,3,male,2.4,0,0,7.4958
515,516,1,male,4.7,0,0,34.0208
516,517,2,female,3.4,0,0,10.5
517,518,3,male,2.9,0,0,24.15
518,519,2,female,3.6,1,0,26.0
519,520,3,male,3.2,0,0,7.8958
520,521,1,female,3.0,0,0,93.5
521,522,3,male,2.2,0,0,7.8958
522,523,3,male,2.9,0,0,7.225
523,524,1,female,4.4,0,1,57.9792
524,525,3,male,2.9,0,0,7.2292
525,526,3,male,4.0,0,0,7.75
526,527,2,female,5.0,0,0,10.5
527,528,1,male,2.9,0,0,221.7792
528,529,3,male,3.9,0,0,7.925
529,530,2,male,2.3,2,1,11.5
530,531,2,female,0.2,1,1,26.0
531,532,3,male,2.9,0,0,7.2292
532,533,3,male,1.7,1,1,7.2292
533,534,3,female,2.9,0,2,22.3583
534,535,3,female,3.0,0,0,8.6625
535,536,2,female,0.7,0,2,26.25
536,537,1,male,4.5,0,0,26.55
537,538,1,female,3.0,0,0,106.425
538,539,3,male,2.9,0,0,14.5
539,540,1,female,2.2,0,2,49.5
540,541,1,female,3.6,0,2,71.0
541,542,3,female,0.9,4,2,31.275
542,543,3,female,1.1,4,2,31.275
543,544,2,male,3.2,1,0,26.0
544,545,1,male,5.0,1,0,106.425
545,546,1,male,6.4,0,0,26.0
546,547,2,female,1.9,1,0,26.0
547,548,2,male,2.9,0,0,13.8625
548,549,3,male,3.3,1,1,20.525
549,550,2,male,0.8,1,1,36.75
550,551,1,male,1.7,0,2,110.8833
551,552,2,male,2.7,0,0,26.0
552,553,3,male,2.9,0,0,7.8292
553,554,3,male,2.2,0,0,7.225
554,555,3,female,2.2,0,0,7.775
555,556,1,male,6.2,0,0,26.55
556,557,1,female,4.8,1,0,39.6
557,558,1,male,2.9,0,0,227.525
558,559,1,female,3.9,1,1,79.65
559,560,3,female,3.6,1,0,17.4
560,561,3,male,2.9,0,0,7.75
561,562,3,male,4.0,0,0,7.8958
562,563,2,male,2.8,0,0,13.5
563,564,3,male,2.9,0,0,8.05
564,565,3,female,2.9,0,0,8.05
565,566,3,male,2.4,2,0,24.15
566,567,3,male,1.9,0,0,7.8958
567,568,3,female,2.9,0,4,21.075
568,569,3,male,2.9,0,0,7.2292
569,570,3,male,3.2,0,0,7.8542
570,571,2,male,6.2,0,0,10.5
571,572,1,female,5.3,2,0,51.4792
572,573,1,male,3.6,0,0,26.3875
573,574,3,female,2.9,0,0,7.75
574,575,3,male,1.6,0,0,8.05
575,576,3,male,1.9,0,0,14.5
576,577,2,female,3.4,0,0,13.0
577,578,1,female,3.9,1,0,55.9
578,579,3,female,2.9,1,0,14.4583
579,580,3,male,3.2,0,0,7.925
580,581,2,female,2.5,1,1,30.0
581,582,1,female,3.9,1,1,110.8833
582,583,2,male,5.4,0,0,26.0
583,584,1,male,3.6,0,0,40.125
584,585,3,male,2.9,0,0,8.7125
585,586,1,female,1.8,0,2,79.65
586,587,2,male,4.7,0,0,15.0
587,588,1,male,6.0,1,1,79.2
588,589,3,male,2.2,0,0,8.05
589,590,3,male,2.9,0,0,8.05
590,591,3,male,3.5,0,0,7.125
591,592,1,female,5.2,1,0,78.2667
592,593,3,male,4.7,0,0,7.25
593,594,3,female,2.9,0,2,7.75
594,595,2,male,3.7,1,0,26.0
595,596,3,male,3.6,1,1,24.15
596,597,2,female,2.9,0,0,33.0
597,598,3,male,4.9,0,0,0.0
598,599,3,male,2.9,0,0,7.225
599,600,1,male,4.9,1,0,56.9292
600,601,2,female,2.4,2,1,27.0
601,602,3,male,2.9,0,0,7.8958
602,603,1,male,2.9,0,0,42.4
603,604,3,male,4.4,0,0,8.05
604,605,1,male,3.5,0,0,26.55
605,606,3,male,3.6,1,0,15.55
606,607,3,male,3.0,0,0,7.8958
607,608,1,male,2.7,0,0,30.5
608,609,2,female,2.2,1,2,41.5792
609,610,1,female,4.0,0,0,153.4625
610,611,3,female,3.9,1,5,31.275
611,612,3,male,2.9,0,0,7.05
612,613,3,female,2.9,1,0,15.5
613,614,3,male,2.9,0,0,7.75
614,615,3,male,3.5,0,0,8.05
615,616,2,female,2.4,1,2,65.0
616,617,3,male,3.4,1,1,14.4
617,618,3,female,2.6,1,0,16.1
618,619,2,female,0.4,2,1,39.0
619,620,2,male,2.6,0,0,10.5
620,621,3,male,2.7,1,0,14.4542
621,622,1,male,4.2,1,0,52.5542
622,623,3,male,2.0,1,1,15.7417
623,624,3,male,2.1,0,0,7.8542
624,625,3,male,2.1,0,0,16.1
625,626,1,male,6.1,0,0,32.3208
626,627,2,male,5.7,0,0,12.35
627,628,1,female,2.1,0,0,77.9583
628,629,3,male,2.6,0,0,7.8958
629,630,3,male,2.9,0,0,7.7333
630,631,1,male,8.0,0,0,30.0
631,632,3,male,5.1,0,0,7.0542
632,633,1,male,3.2,0,0,30.5
633,634,1,male,2.9,0,0,0.0
634,635,3,female,0.9,3,2,27.9
635,636,2,female,2.8,0,0,13.0
636,637,3,male,3.2,0,0,7.925
637,638,2,male,3.1,1,1,26.25
638,639,3,female,4.1,0,5,39.6875
639,640,3,male,2.9,1,0,16.1
640,641,3,male,2.0,0,0,7.8542
641,642,1,female,2.4,0,0,69.3
642,643,3,female,0.2,3,2,27.9
643,644,3,male,2.9,0,0,56.4958
644,645,3,female,0.0,2,1,19.2583
645,646,1,male,4.8,1,0,76.7292
646,647,3,male,1.9,0,0,7.8958
647,648,1,male,5.6,0,0,35.5
648,649,3,male,2.9,0,0,7.55
649,650,3,female,2.3,0,0,7.55
650,651,3,male,2.9,0,0,7.8958
651,652,2,female,1.8,0,1,23.0
652,653,3,male,2.1,0,0,8.4333
653,654,3,female,2.9,0,0,7.8292
654,655,3,female,1.8,0,0,6.75
655,656,2,male,2.4,2,0,73.5
656,657,3,male,2.9,0,0,7.8958
657,658,3,female,3.2,1,1,15.5
658,659,2,male,2.3,0,0,13.0
659,660,1,male,5.8,0,2,113.275
660,661,1,male,5.0,2,0,133.65
661,662,3,male,4.0,0,0,7.225
662,663,1,male,4.7,0,0,25.5875
663,664,3,male,3.6,0,0,7.4958
664,665,3,male,2.0,1,0,7.925
665,666,2,male,3.2,2,0,73.5
666,667,2,male,2.5,0,0,13.0
667,668,3,male,2.9,0,0,7.775
668,669,3,male,4.3,0,0,8.05
669,670,1,female,2.9,1,0,52.0
670,671,2,female,4.0,1,1,39.0
671,672,1,male,3.1,1,0,52.0
672,673,2,male,7.0,0,0,10.5
673,674,2,male,3.1,0,0,13.0
674,675,2,male,2.9,0,0,0.0
675,676,3,male,1.8,0,0,7.775
676,677,3,male,2.4,0,0,8.05
677,678,3,female,1.8,0,0,9.8417
678,679,3,female,4.3,1,6,46.9
679,680,1,male,3.6,0,1,512.3292
680,681,3,female,2.9,0,0,8.1375
681,682,1,male,2.7,0,0,76.7292
682,683,3,male,2.0,0,0,9.225
683,684,3,male,1.4,5,2,46.9
684,685,2,male,6.0,1,1,39.0
